Workers,Execution Time 1,Execution Time 2,Execution Time 3
2,319.9075400829315,325.30148792266846,324.96841502189636
4,186.36053276062012,184.17221450805664,182.4300172328949
6,135.65608954429626,137.6179280281067,140.43500781059265
